air_op_stem,n_declares,example_declare
air.half_tan,6,declare <16 x float> @air.half_tan.v16f32(<16 x float>) local_unnamed_addr #1
air.hypot,18,"declare <16 x double> @air.hypot.v16f64(<16 x double>, <16 x double>) local_unnamed_addr #1"
air.is_null_visible_function_table,3,declare i1 @air.is_null_visible_function_table(ptr addrspace(1) nocapture readonly) local_unnamed_addr #2
air.ldexp,18,"declare <16 x double> @air.ldexp.v16f64(<16 x double>, <16 x i32>) local_unnamed_addr #1"
air.lgamma,18,declare <16 x double> @air.lgamma.v16f64(<16 x double>) local_unnamed_addr #1
air.lgamma_r,36,"declare <16 x double> @air.lgamma_r.v16f64(<16 x double>, ptr nocapture writeonly) local_unnamed_addr #50"
air.log,18,declare <16 x double> @air.log.v16f64(<16 x double>) local_unnamed_addr #1
air.log10,18,declare <16 x double> @air.log10.v16f64(<16 x double>) local_unnamed_addr #1
air.log1p,18,declare <16 x double> @air.log1p.v16f64(<16 x double>) local_unnamed_addr #1
air.log2,18,declare <16 x double> @air.log2.v16f64(<16 x double>) local_unnamed_addr #1
air.logb,18,declare <16 x double> @air.logb.v16f64(<16 x double>) local_unnamed_addr #1
