air_intrinsic_declare,n_os,os_list,example_module
declare <16 x float> @air.convert.f.v16f32.s.v16i8.rtp(<16 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x float> @air.convert.f.v16f32.s.v16i8.rtz(<16 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x float> @air.convert.f.v16f32.u.v16i1(<16 x i1>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!common.metal.air
declare <16 x float> @air.convert.f.v16f32.u.v16i16.rte(<16 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x float> @air.convert.f.v16f32.u.v16i16.rtn(<16 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x float> @air.convert.f.v16f32.u.v16i16.rtp(<16 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x float> @air.convert.f.v16f32.u.v16i16.rtz(<16 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x float> @air.convert.f.v16f32.u.v16i32.rte(<16 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x float> @air.convert.f.v16f32.u.v16i32.rtn(<16 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x float> @air.convert.f.v16f32.u.v16i32.rtp(<16 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x float> @air.convert.f.v16f32.u.v16i32.rtz(<16 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x float> @air.convert.f.v16f32.u.v16i64.rte(<16 x i64>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x float> @air.convert.f.v16f32.u.v16i64.rtn(<16 x i64>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x float> @air.convert.f.v16f32.u.v16i64.rtp(<16 x i64>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x float> @air.convert.f.v16f32.u.v16i64.rtz(<16 x i64>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x float> @air.convert.f.v16f32.u.v16i8.rte(<16 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x float> @air.convert.f.v16f32.u.v16i8.rtn(<16 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x float> @air.convert.f.v16f32.u.v16i8.rtp(<16 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x float> @air.convert.f.v16f32.u.v16i8.rtz(<16 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x float> @air.cos.v16f32(<16 x float>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x float> @air.cosh.v16f32(<16 x float>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x float> @air.cospi.v16f32(<16 x float>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x float> @air.erf.v16f32(<16 x float>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x float> @air.erfc.v16f32(<16 x float>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x float> @air.exp.v16f32(<16 x float>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x float> @air.exp10.v16f32(<16 x float>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x float> @air.exp2.v16f32(<16 x float>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
