cell,scene,air_candidate,stage1_source,probe_method
__metal_atomic_load_explicit_texture_buffer_1d_t,P06,air.atomic_load_explicit_texture_buffer_1d,manual_needed,"__bits/metal_texture_buffer:242: return __metal_atomic_load_explicit_texture_buffer_1d_t(derived.t, coord, __METAL_MEMOR"
__metal_atomic_load_explicit_texture_cube_array_t,P06,air.atomic_load_explicit_texture_cube_array,manual_needed,"__bits/metal_texturecube_array:1259: return __metal_atomic_load_explicit_texture_cube_array_t(derived.t, coord, face, ar"
__metal_atomic_load_explicit_texture_cube_t,P06,air.atomic_load_explicit_texture_cube,manual_needed,"__bits/metal_texturecube:1262: return __metal_atomic_load_explicit_texture_cube_t(derived.t, coord, face, __METAL_MEMORY"
__metal_atomic_max_explicit,P07,air.atomic.max,manual_needed,"metal_atomic:656: __metal_atomic_max_explicit(&object->__s, T(operand), int(order), __METAL_MEMORY_SCOPE_DEVICE__);"
__metal_atomic_max_explicit_texture_1d_array_t,P06,air.atomic_max_explicit_texture_1d_array,manual_needed,"__bits/metal_texture1d_array:1356: __metal_atomic_max_explicit_texture_1d_array_t(derived.t, coord, array, operand, __ME"
__metal_atomic_max_explicit_texture_1d_t,P06,air.atomic_max_explicit_texture_1d,manual_needed,"__bits/metal_texture1d:1356: __metal_atomic_max_explicit_texture_1d_t(derived.t, coord, operand, __METAL_MEMORY_ORDER_RE"
__metal_atomic_max_explicit_texture_2d_array_t,P06,air.atomic_max_explicit_texture_2d_array,manual_needed,"__bits/metal_texture2d_array:2012: __metal_atomic_max_explicit_texture_2d_array_t(derived.t, coord, array, ushort2(0), o"
__metal_atomic_max_explicit_texture_2d_t,P06,air.atomic_max_explicit_texture_2d,manual_needed,"__bits/metal_texture2d:2022: __metal_atomic_max_explicit_texture_2d_t(derived.t, coord, ushort2(0), operand, __METAL_MEM"
__metal_atomic_max_explicit_texture_3d_t,P06,air.atomic_max_explicit_texture_3d,manual_needed,"__bits/metal_texture3d:1910: __metal_atomic_max_explicit_texture_3d_t(derived.t, coord, ushort3(0), operand, __METAL_MEM"
__metal_atomic_max_explicit_texture_buffer_1d_t,P06,air.atomic_max_explicit_texture_buffer_1d,manual_needed,"__bits/metal_texture_buffer:1022: __metal_atomic_max_explicit_texture_buffer_1d_t(derived.t, coord, operand, __METAL_MEM"
__metal_atomic_max_explicit_texture_cube_array_t,P06,air.atomic_max_explicit_texture_cube_array,manual_needed,"__bits/metal_texturecube_array:2031: __metal_atomic_max_explicit_texture_cube_array_t(derived.t, coord, face, array, ope"
__metal_atomic_max_explicit_texture_cube_t,P06,air.atomic_max_explicit_texture_cube,manual_needed,"__bits/metal_texturecube:2041: __metal_atomic_max_explicit_texture_cube_t(derived.t, coord, face, operand, __METAL_MEMOR"
__metal_atomic_min_explicit,P07,air.atomic.min,manual_needed,"metal_atomic:680: __metal_atomic_min_explicit(&object->__s, T(operand), int(order), __METAL_MEMORY_SCOPE_DEVICE__);"
__metal_atomic_min_explicit_texture_1d_array_t,P06,air.atomic_min_explicit_texture_1d_array,manual_needed,"__bits/metal_texture1d_array:1361: __metal_atomic_min_explicit_texture_1d_array_t(derived.t, coord, array, operand, __ME"
__metal_atomic_min_explicit_texture_1d_t,P06,air.atomic_min_explicit_texture_1d,manual_needed,"__bits/metal_texture1d:1361: __metal_atomic_min_explicit_texture_1d_t(derived.t, coord, operand, __METAL_MEMORY_ORDER_RE"
__metal_atomic_min_explicit_texture_2d_array_t,P06,air.atomic_min_explicit_texture_2d_array,manual_needed,"__bits/metal_texture2d_array:2022: __metal_atomic_min_explicit_texture_2d_array_t(derived.t, coord, array, ushort2(0), o"
__metal_atomic_min_explicit_texture_2d_t,P06,air.atomic_min_explicit_texture_2d,manual_needed,"__bits/metal_texture2d:2032: __metal_atomic_min_explicit_texture_2d_t(derived.t, coord, ushort2(0), operand, __METAL_MEM"
__metal_atomic_min_explicit_texture_3d_t,P06,air.atomic_min_explicit_texture_3d,manual_needed,"__bits/metal_texture3d:1920: __metal_atomic_min_explicit_texture_3d_t(derived.t, coord, ushort3(0), operand, __METAL_MEM"
__metal_atomic_min_explicit_texture_buffer_1d_t,P06,air.atomic_min_explicit_texture_buffer_1d,manual_needed,"__bits/metal_texture_buffer:1027: __metal_atomic_min_explicit_texture_buffer_1d_t(derived.t, coord, operand, __METAL_MEM"
