msl_api_signature,namespace,guard,class,metal_builtins,clang_builtins,file,line
"half16 max3(half16 x, half16 y, half16 z)",metal,__HAVE_NATIVE_WIDE_VECTORS__|__HAVE_MAX3__,builtin_direct,__metal_fmax3,,metal_math,4500
"half16 median3(half16 x, half16 y, half16 z)",metal,__HAVE_NATIVE_WIDE_VECTORS__|__HAVE_MEDIAN3__,builtin_direct,__metal_fmedian3,,metal_math,4506
"half16 min(half16 x, half16 y)",metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_fmin,,metal_math,4511
"half16 min3(half16 x, half16 y, half16 z)",metal,__HAVE_NATIVE_WIDE_VECTORS__|__HAVE_MIN3__,builtin_direct,__metal_fmin3,,metal_math,4516
"half16 modf(half16 x, thread half16 &intval)",metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_composed,__metal_select __metal_trunc,,metal_math,4521
"half16 nextafter(half16 x, half16 y)",metal,__HAVE_NATIVE_WIDE_VECTORS__|__HAVE_NEXTAFTER__,builtin_direct,__metal_nextafter,,metal_math,4528
"half16 pow(half16 x, half16 y)",metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_pow,,metal_math,4533
"half16 powr(half16 x, half16 y)",metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_powr,,metal_math,4537
half16 rint(half16 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_rint,,metal_math,4541
half16 round(half16 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_round,,metal_math,4545
half16 rsqrt(half16 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_rsqrt,,metal_math,4549
half16 sin(half16 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_sin,,metal_math,4553
"half16 sincos(half16 x, thread half16 &cosval)",metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_sincos,,metal_math,4557
