scene,file,symbol,builtin,stage1_source
P06,probe.metal,,__metal_sampler_t,manual_needed
P05,probe.metal,probe_p05_saturate,__metal_saturate,auto_wrapper
P03,probe.metal,probe_p03_fdim,__metal_select,auto_wrapper
UNASSIGNED,probe.metal,,__metal_set_barrier_compute_command,manual_needed
UNASSIGNED,probe.metal,,__metal_set_barrier_render_command,manual_needed
P10,probe.metal,,__metal_set_buffer_intersection_function_table,manual_needed
UNASSIGNED,probe.metal,,__metal_set_cull_mode_render_command,manual_needed
UNASSIGNED,probe.metal,,__metal_set_depth_bias_render_command,manual_needed
UNASSIGNED,probe.metal,,__metal_set_depth_clip_mode_render_command,manual_needed
UNASSIGNED,probe.metal,,__metal_set_depth_stencil_state_render_command,manual_needed
UNASSIGNED,probe.metal,,__metal_set_fragment_buffer_render_command,manual_needed
UNASSIGNED,probe.metal,,__metal_set_front_facing_winding_render_command,manual_needed
UNASSIGNED,probe.metal,,__metal_set_imageblock_size_compute_command,manual_needed
P11,probe.metal,,__metal_set_index_mesh,manual_needed
P11,probe.metal,,__metal_set_indices_mesh,manual_needed
UNASSIGNED,probe.metal,,__metal_set_kernel_buffer_compute_command,manual_needed
UNASSIGNED,probe.metal,,__metal_set_mesh_buffer_render_command,manual_needed
UNASSIGNED,probe.metal,,__metal_set_object_buffer_render_command,manual_needed
UNASSIGNED,probe.metal,,__metal_set_object_threadgroup_memory_length_render_command,manual_needed
UNASSIGNED,probe.metal,,__metal_set_pipeline_state_compute_command,manual_needed
UNASSIGNED,probe.metal,,__metal_set_pipeline_state_render_command,manual_needed
P11,probe.metal,,__metal_set_primitive_count_mesh,manual_needed
P11,probe.metal,,__metal_set_primitive_mesh,manual_needed
UNASSIGNED,probe.metal,,__metal_set_stage_in_region_compute_command,manual_needed
UNASSIGNED,probe.metal,,__metal_set_threadgroup_memory_length_compute_command,manual_needed
P11,probe.metal,,__metal_set_threadgroups_per_grid_mesh_grid_properties,manual_needed
UNASSIGNED,probe.metal,,__metal_set_triangle_fill_mode_render_command,manual_needed
UNASSIGNED,probe.metal,,__metal_set_vertex_buffer_render_command,manual_needed
P11,probe.metal,,__metal_set_vertex_mesh,manual_needed
P10,probe.metal,,__metal_set_visible_function_table_intersection_function_table,manual_needed
P08,probe.metal,,__metal_simd_active_threads_mask,manual_needed
P08,probe.metal,,__metal_simd_all,manual_needed
P08,probe.metal,,__metal_simd_and,manual_needed
P08,probe.metal,,__metal_simd_any,manual_needed
P08,probe.metal,,__metal_simd_ballot,manual_needed
P08,probe.metal,,__metal_simd_broadcast,manual_needed
P08,probe.metal,,__metal_simd_broadcast_first,manual_needed
P08,probe.metal,,__metal_simd_is_first,manual_needed
P08,probe.metal,,__metal_simd_is_helper_thread,manual_needed
P08,probe.metal,,__metal_simd_max,manual_needed
P08,probe.metal,,__metal_simd_min,manual_needed
P08,probe.metal,,__metal_simd_or,manual_needed
P08,probe.metal,,__metal_simd_prefix_exclusive_product,manual_needed
P08,probe.metal,,__metal_simd_prefix_exclusive_sum,manual_needed
P08,probe.metal,,__metal_simd_prefix_inclusive_product,manual_needed
P08,probe.metal,,__metal_simd_prefix_inclusive_sum,manual_needed
P08,probe.metal,,__metal_simd_product,manual_needed
P08,probe.metal,,__metal_simd_shuffle,manual_needed
P08,probe.metal,,__metal_simd_shuffle_and_fill_down,manual_needed
P08,probe.metal,,__metal_simd_shuffle_and_fill_up,manual_needed
P08,probe.metal,,__metal_simd_shuffle_down,manual_needed
P08,probe.metal,,__metal_simd_shuffle_rotate_down,manual_needed
P08,probe.metal,,__metal_simd_shuffle_rotate_up,manual_needed
P08,probe.metal,,__metal_simd_shuffle_up,manual_needed
P08,probe.metal,,__metal_simd_shuffle_xor,manual_needed
P08,probe.metal,,__metal_simd_sum,manual_needed
P08,probe.metal,,__metal_simd_vote_all,manual_needed
P08,probe.metal,,__metal_simd_vote_any,manual_needed
P08,probe.metal,,__metal_simd_xor,manual_needed
P11,probe.metal,,__metal_simdgroup_matrix_8x8_init_diag,manual_needed
P11,probe.metal,,__metal_simdgroup_matrix_8x8_init_filled,manual_needed
P11,probe.metal,,__metal_simdgroup_matrix_8x8_load,manual_needed
P11,probe.metal,,__metal_simdgroup_matrix_8x8_multiply_accumulate,manual_needed
P11,probe.metal,,__metal_simdgroup_matrix_8x8_store,manual_needed
P11,probe.metal,,__metal_slice_tensor,manual_needed
P11,probe.metal,,__metal_store_tensor,manual_needed
P06,probe.metal,,__metal_struct_has_render_target,manual_needed
P04,probe.metal,probe_p04_subsat,__metal_subsat,auto_wrapper
P11,probe.metal,,__metal_tensor_t,manual_needed
P11,probe.metal,,__metal_tensor_thread_t,manual_needed
P06,probe.metal,,__metal_texture_1d_array_t,manual_needed
P06,probe.metal,,__metal_texture_1d_t,manual_needed
P06,probe.metal,,__metal_texture_2d_array_t,manual_needed
P06,probe.metal,,__metal_texture_2d_ms_array_t,manual_needed
P06,probe.metal,,__metal_texture_2d_ms_t,manual_needed
P06,probe.metal,,__metal_texture_2d_t,manual_needed
P06,probe.metal,,__metal_texture_3d_t,manual_needed
P06,probe.metal,,__metal_texture_buffer_1d_t,manual_needed
P06,probe.metal,,__metal_texture_cube_array_t,manual_needed
P06,probe.metal,,__metal_texture_cube_t,manual_needed
P06,probe.metal,,__metal_unpack_snorm1x16,manual_needed
P06,probe.metal,,__metal_unpack_snorm1x8,manual_needed
P05,probe.metal,probe_p05_unpack_snorm2x16_to_float,__metal_unpack_snorm2x16,auto_wrapper
P06,probe.metal,,__metal_unpack_snorm2x8,manual_needed
P06,probe.metal,,__metal_unpack_snorm4x16,manual_needed
P05,probe.metal,probe_p05_unpack_snorm4x8_to_float,__metal_unpack_snorm4x8,auto_wrapper
P05,probe.metal,probe_p05_unpack_snorm10a2_to_float,__metal_unpack_snorm_rgb10a2,auto_wrapper
P06,probe.metal,,__metal_unpack_unorm1x16,manual_needed
P06,probe.metal,,__metal_unpack_unorm1x8,manual_needed
P05,probe.metal,probe_p05_unpack_unorm2x16_to_float,__metal_unpack_unorm2x16,auto_wrapper
P06,probe.metal,,__metal_unpack_unorm2x8,manual_needed
P06,probe.metal,,__metal_unpack_unorm4x16,manual_needed
P05,probe.metal,probe_p05_unpack_unorm4x8_to_float,__metal_unpack_unorm4x8,auto_wrapper
